车辆ID,左车道速度,右车道速度,总平均速度
bus13505,18.08,,18.08
bus1351,40.81,,40.81
bus13518,15.8,,15.8
bus1352,26.76,,26.76
bus13530,14.7,,14.7
bus13537,15.0,,15.0
bus13538,18.0,,18.0
bus1355,40.0,,40.0
bus13553,13.28,,13.28
bus13561,11.06,,11.06
bus13573,22.88,,22.88
bus1358,48.5,,48.5
bus13617,1.8,,1.8
bus13639,5.02,,5.02
bus1364,40.83,,40.83
bus13640,6.62,,6.62
bus13656,15.8,,15.8
bus1367,29.67,,29.67
bus13697,16.8,,16.8
bus1370,30.23,,30.23
bus13719,17.2,,17.2
bus13724,31.26,,31.26
bus1373,38.01,,38.01
bus13739,25.4,,25.4
bus13743,29.52,,29.52
bus13752,55.08,,55.08
bus13759,49.91,,49.91
bus13766,18.82,,18.82
bus13778,21.63,,21.63
bus1378,23.93,,23.93
bus13784,27.3,,27.3
bus13789,26.61,,26.61
bus1379,30.8,,30.8
bus13795,30.52,,30.52
bus13799,23.46,,23.46
bus138,4.45,,4.45
bus13800,10.7,,10.7
bus13802,28.74,,28.74
bus13811,33.2,,33.2
bus13825,17.92,,17.92
bus13830,32.38,,32.38
bus13837,27.8,,27.8
bus13843,34.27,,34.27
bus13852,32.65,,32.65
bus13855,26.5,,26.5
bus13865,33.46,,33.46
bus13871,35.0,,35.0
bus13873,28.2,,28.2
bus13879,34.11,,34.11
bus13880,35.45,,35.45
bus13881,21.89,,21.89
bus13892,31.79,,31.79
bus13903,38.4,,38.4
bus1391,39.4,,39.4
bus13912,27.9,,27.9
bus13913,30.67,,30.67
bus1392,27.04,,27.04
bus13920,32.51,,32.51
bus13940,24.9,,24.9
bus13942,32.06,,32.06
bus13945,25.47,,25.47
bus13953,26.52,,26.52
bus13959,33.56,,33.56
bus13965,34.29,,34.29
bus13980,30.4,,30.4
bus13987,31.6,,31.6
bus1399,51.7,,51.7
bus13990,23.21,,23.21
bus140,22.18,18.68,22.0
bus14006,24.79,,24.79
bus14012,24.2,,24.2
bus14015,31.91,,31.91
